ph	logT_	logT_unc	logT_unc_right	logT_unc_left	logR_	logR_unc	logR_unc_right	logR_unc_left

58833.3	3.96e+00	8.39e-01	1.33e+00	3.51e-01	1.48e+01	7.53e-01	5.90e-01	9.16e-01
58835.0	3.99e+00	3.39e-02	3.52e-02	3.26e-02	1.46e+01	4.20e-02	4.09e-02	4.30e-02
58836.0	3.85e+00	4.29e-02	4.35e-02	4.23e-02	1.49e+01	6.85e-02	6.88e-02	6.81e-02
58836.4	3.92e+00	1.65e-02	1.68e-02	1.63e-02	1.48e+01	2.58e-02	2.57e-02	2.60e-02
58837.1	3.89e+00	6.07e-03	6.07e-03	6.07e-03	1.48e+01	9.00e-03	9.03e-03	8.96e-03
58838.0	3.83e+00	2.14e-02	2.19e-02	2.10e-02	1.49e+01	3.93e-02	3.88e-02	3.97e-02
58841.2	3.78e+00	1.67e-02	1.68e-02	1.65e-02	1.49e+01	3.02e-02	3.02e-02	3.01e-02
58846.0	3.57e+00	9.09e-03	9.33e-03	8.85e-03	1.52e+01	3.11e-02	3.03e-02	3.19e-02
58854.0	3.68e+00	1.94e-02	1.97e-02	1.91e-02	1.46e+01	4.82e-02	4.78e-02	4.85e-02
