Time (JD)	Mag	Error	Band	Calibration	Telescope	Abs Mag	wave	freq	fratio	fratio_unc	fnu	fnu_unc	nufnu	nufnu_unc	flambda	flambda_unc	Llambda	Llambda_unc	logLlambda	logLlambda_unc
58833.305	19.285	0.05	i	PS1i	gcn26485	-16.506812460476244	7503.68	399527242632948.06	4006129.502166284	184489.08144583486	1.4546256222365777e-13	6.6987985472982636e-15	58.11625639154162	2.6763525125556735	0.007745033955544695	0.0003566719946153985	9.266895818923516e+37	4.267563234196429e+36	37.966934280586564	0.01998643860718832
58833.32	19.225	0.07	i	PS1i	gcn26485	-16.566812460476243	7503.68	399527242632948.06	4233747.802066717	272959.80814298365	1.537273826930425e-13	9.911170633671737e-15	61.41827732453125	3.959782674535518	0.008185087493673937	0.0005277120925379971	9.793417757497198e+37	6.314049766605346e+36	37.990934280586565	0.027981014050063653
58833.335	19.275	0.07	i	PS1i	gcn26485	-16.516812460476245	7503.68	399527242632948.06	4043197.762058277	260674.59305838373	1.4680851074033605e-13	9.465094473949914e-15	58.653999491136005	3.7815630964375635	0.007816697872395412	0.0005039611359276466	9.352641350220532e+37	6.0298707148785e+36	37.97093428058656	0.027981014050063643
58835.0	20.22	0.08	J	2MASSJ	gcn27057_tel2	-15.571812460476243	12350.0	242746929554655.88	1693265.205249171	124764.39104295183	6.14824596025974e-14	4.530195038769581e-15	14.924678289998687	1.0996909359450509	0.001208475974898679	8.904380048138064e-05	1.4459356825725492e+37	1.0654047833983112e+36	37.16014897530632	0.031978301771501315
58835.0	20.004	0.09	i	SDSSip	gcn27057_tel2	-15.787812460476244	7673.03	390709352107316.1	2065974.630356674	171254.96590907383	7.501553882825084e-14	6.2182678121584705e-15	29.309272573567103	2.429535388118214	0.0038197781806622814	0.00031663311470412784	4.570346192769549e+37	3.7884999647855707e+36	37.659949098081896	0.03597558949293896
58835.0	19.594	0.08	g	SDSSgp	gcn27057_tel2	-16.197812460476243	4724.6	634535109850569.4	3013873.2521314058	222070.38792100034	1.0943373778489134e-13	8.063375785411522e-15	69.43954882669443	5.116495039762521	0.014697445038033786	0.0010829477711896288	1.7585422188408575e+38	1.2957417915211617e+37	38.245152799260595	0.0319783017715013
58836.0	19.744	0.09	i	SDSSip	gcn27057_tel2	-16.047812460476244	7673.03	390709352107316.1	2624973.867348979	217592.12507244083	9.531280112344144e-14	7.900770061380327e-15	37.239602774473276	3.0869047518307875	0.004853311243990089	0.0004023058363945909	5.806963524371434e+37	4.81356995284002e+36	37.763949098081895	0.03597558949293898
58836.0	19.644	0.11	g	SDSSgp	gcn27057_tel2	-16.147812460476242	4724.6	634535109850569.4	2878226.6109938035	291603.9143042566	1.0450840824518501e-13	1.0588138128387559e-14	66.31425430616662	6.7185453904094015	0.014035951044779794	0.001422034752234983	1.6793947811987027e+38	1.7014577309136575e+37	38.22515279926059	0.04397016493581431
58836.0	19.14	0.11	J	2MASSJ	gcn27057_tel2	-16.651812460476243	12350.0	242746929554655.88	4578518.614387978	463866.86321736255	1.6624601088842747e-13	1.6843005803422434e-14	40.355708693875656	4.088587943252046	0.003267668720151875	0.0003310597524900442	3.9097498828554777e+37	3.961113990943227e+36	37.59214897530632	0.043970164935814314
58836.434471	19.231	0.09	g	PS1g	gcn26577_tel1	-16.560812460476246	4810.88	623155135858720.2	4210415.775233558	349014.26157695136	1.5288019679873052e-13	1.2672707837859104e-14	95.26807980622081	7.897062974398959	0.019802630663458828	0.001641500718038895	2.3693752196853653e+38	1.9640477018005251e+37	38.374633842037724	0.03597558949293897
